Open_time,Open_value,High_value,Low_value,Close_value,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
11/1/2020 0:55,13723.61,13735.35,13707.5,13725.95,161.147419,1.60E+12,2211438.861,2402,80.856049,1109670.85
11/1/2020 1:00,13725.96,13741.78,13713.4,13729.09,78.725348,1.60E+12,1080808.02,2043,33.411353,458707.8941
11/1/2020 1:05,13729.09,13766.16,13729.09,13755.18,107.386557,1.60E+12,1476818.936,2158,68.131347,936941.504
11/1/2020 1:10,13755.18,13755.19,13739.01,13754.95,81.126814,1.60E+12,1115352.944,1750,41.635025,572394.1534
11/1/2020 1:15,13754.95,13763.5,13750,13763.48,118.655935,1.60E+12,1632176.366,1837,66.191091,910517.383
11/1/2020 1:20,13762.78,13768,13758.74,13759.68,59.090236,1.60E+12,813261.465,1302,33.742041,464402.7152
11/1/2020 1:25,13759.62,13761.93,13726.76,13731.39,106.612856,1.60E+12,1465567.562,1515,41.976909,577018.5259
11/1/2020 1:30,13731.39,13747.06,13729.72,13740,76.391493,1.60E+12,1049486.465,1345,31.224064,428968.5662
11/1/2020 1:35,13739.99,13740.3,13707.68,13726.8,108.676083,1.60E+12,1491474.618,2320,42.0772,577473.0741
11/1/2020 1:40,13726.81,13738.76,13721.16,13737.46,59.983038,1.60E+12,823530.411,1361,38.838253,533232.1225
11/1/2020 1:45,13737.47,13768,13736.99,13767.99,83.384549,1.60E+12,1146987.233,1717,46.291361,636724.4921
11/1/2020 1:50,13767.99,13772.02,13756.01,13759.32,63.349158,1.60E+12,872040.5736,1300,31.570708,434605.0313
11/1/2020 1:55,13759.32,13771.87,13756.01,13759.9,28.404052,1.60E+12,390914.7462,1110,13.546453,186441.9785
11/1/2020 2:00,13759.91,13765.37,13757.14,13761.28,48.406295,1.60E+12,666154.3629,1212,24.25407,333761.8716
11/1/2020 2:05,13760.88,13773.51,13756.43,13772.46,41.767341,1.60E+12,574906.4412,1183,19.56177,269291.1782
